"File","Line","Type","Text"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","191","broken_question_in_word","placeholder=""ID ph�ng (d? tr?ng n?u th�m m?i)"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","191","replacement_char","placeholder=""ID ph�ng (d? tr?ng n?u th�m m?i)"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","208","broken_question_in_word","placeholder=""T?ng"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","217","replacement_char","placeholder=""S? ph�ng"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","238","broken_question_in_word","placeholder=""S?c ch?a"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","248","replacement_char","placeholder=""Gi� gi?"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","258","replacement_char","placeholder=""Gi� ng�y"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","270","broken_question_in_word",">Ph�ng view d?p</label"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","270","replacement_char",">Ph�ng view d?p</label"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","275","common_vn_no_diacritics","Luu ph�ng"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","275","replacement_char","Luu ph�ng"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","282","broken_question_in_word","T?o m?i"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","293","broken_question_in_word","Danh s�ch ph�ng theo chi nh�nh dang ch?n"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","293","replacement_char","Danh s�ch ph�ng theo chi nh�nh dang ch?n"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","300","replacement_char","<th>Ph�ng</th>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","301","broken_question_in_word","<th>Lo?i</th>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","302","replacement_char","<th>Gi� gi?</th>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","303","replacement_char","<th>Gi� ng�y</th>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","304","replacement_char","<th>Thao t�c</th>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","328","broken_question_in_word","S?a"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","333","replacement_char","onsubmit=""return confirm('X�a ph�ng n�y?');"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","357","broken_question_in_word","<div class=""card-header fw-bold"">3. Th�m ho?c c?p nh?t voucher</div>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","357","replacement_char","<div class=""card-header fw-bold"">3. Th�m ho?c c?p nh?t voucher</div>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","369","broken_question_in_word","placeholder=""ID voucher (d? tr?ng n?u th�m m?i)"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","369","replacement_char","placeholder=""ID voucher (d? tr?ng n?u th�m m?i)"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","375","replacement_char","placeholder=""M� voucher"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","382","replacement_char","placeholder=""T�n voucher"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","405","broken_question_in_word","placeholder=""% gi?m"""
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","418","broken_question_in_word",">C�n ho?t d?ng</label"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","418","replacement_char",">C�n ho?t d?ng</label"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","421","broken_question_in_word","<label class=""form-label"">Hi?u l?c t?</label>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","428","broken_question_in_word","<label class=""form-label"">Hi?u l?c d?n</label>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","443","common_vn_no_diacritics","Luu voucher"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","450","broken_question_in_word","T?o m?i"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","460","replacement_char","<div class=""card-header fw-bold"">Danh s�ch voucher</div>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","467","broken_question_in_word","<th>�?i tu?ng</th>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","467","replacement_char","<th>�?i tu?ng</th>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","469","broken_question_in_word","<th>Tr?ng th�i</th>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","469","replacement_char","<th>Tr?ng th�i</th>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","470","replacement_char","<th>Thao t�c</th>"
"D:\hutech\j2ee\DOANMONHOCJ2EE\src\main\resources\templates\admin-manage.html","488","broken_question_in_word","S?a"
